Datetime,Open,Max,Min,Close,Volume,PEAKS,EMA_17,EMA_72,UDT_COEF,UDT_STATUS
2020-01-02 10:00:00,48.3000,49.3300,47.7100,48.8900,14084200,0,48.8900,48.8900,,0
2020-01-06 10:00:00,48.4000,53.0500,47.8000,51.8000,43937600,0,49.2133,48.9697,,0
2020-01-13 10:00:00,52.2000,55.0500,52.1500,54.3500,40534700,0,49.7841,49.1171,,0
2020-01-20 10:00:00,54.1200,57.1000,54.0500,56.1500,40150800,0,50.4914,49.3098,,0
2020-01-27 10:00:00,55.0500,58.0900,53.7500,55.8000,48352500,0,51.0812,49.4876,,0
2020-02-03 10:00:00,56.4800,58.8400,53.5000,54.2300,42883400,0,51.4311,49.6176,,0
2020-02-10 10:00:00,54.0000,57.9600,51.5400,56.3300,55932300,0,51.9754,49.8015,,0
2020-02-17 10:00:00,58.0000,59.9200,55.4000,56.4500,57850400,1,52.4726,49.9836,,0
2020-02-27 10:00:00,52.0000,53.4000,47.2200,48.3500,22563000,0,52.0145,49.9389,,0
2020-03-02 10:00:00,50.7000,54.8000,43.0500,45.3300,87364000,0,51.2718,49.8126,,0
2020-03-09 10:00:00,39.0200,47.0100,30.5700,41.1800,111984900,0,50.1505,49.5761,,0
2020-03-16 10:00:00,35.0000,39.9100,25.0000,30.9000,137119600,-1,48.0116,49.0644,,0
2020-03-23 10:00:00,32.5000,44.4000,29.5600,39.0500,109899800,0,47.0158,48.7900,,0
2020-03-30 10:00:00,41.0000,43.2000,33.3300,35.6000,98534400,0,45.7474,48.4287,,0
2020-04-06 10:00:00,38.4000,42.6000,37.2200,42.0900,51558600,0,45.3410,48.2550,,0
2020-04-13 10:00:00,41.0900,46.8900,40.6700,44.5000,57291000,0,45.2476,48.1521,,0
2020-04-20 10:00:00,43.7200,52.5000,42.6800,47.9000,86365000,0,45.5423,48.1452,,0
2020-04-27 10:00:00,49.2300,52.8900,48.0000,49.7200,60457800,0,46.0065,48.1884,,0
2020-05-04 10:00:00,48.0000,58.2000,47.3100,55.6500,92861100,0,47.0780,48.3928,,0
2020-05-11 10:00:00,55.4400,57.0000,53.8000,54.8700,53197000,0,47.9438,48.5702,,0
2020-05-18 10:00:00,56.4900,59.5000,55.1000,58.2100,59162600,0,49.0845,48.8343,,0
2020-05-25 10:00:00,59.2000,68.1300,58.8800,64.8300,81223600,0,50.8340,49.2726,,0
2020-06-01 10:00:00,64.0000,64.9800,58.5200,59.2500,79474100,0,51.7691,49.5459,,0
2020-06-08 10:00:00,60.0100,65.0600,59.3000,63.7700,69230000,0,53.1025,49.9356,,0
2020-06-15 10:00:00,62.8400,71.7400,62.2200,71.1000,89271300,0,55.1022,50.5155,,0
2020-06-22 10:00:00,71.6200,72.3400,68.2000,69.3000,43633800,0,56.6798,51.0301,,0
2020-06-29 10:00:00,70.1700,73.2500,68.3500,72.0000,48059500,0,58.3820,51.6046,,0
2020-07-06 10:00:00,72.8100,81.0000,71.0700,80.1500,56901300,0,60.8007,52.3867,,0
2020-07-13 10:00:00,80.6100,82.3500,79.1400,82.1100,60385400,0,63.1684,53.2010,,0
2020-07-20 10:00:00,82.1100,89.5000,77.2100,79.4700,63329200,0,64.9797,53.9207,,0
2020-07-27 10:00:00,80.6500,84.7500,78.5000,81.0000,46952400,0,66.7597,54.6626,,0
2020-08-03 10:00:00,81.2100,87.5000,79.7600,85.4800,47563500,0,68.8397,55.5070,,0
2020-08-10 10:00:00,86.1800,86.3000,79.2000,81.9900,63505400,0,70.3009,56.2325,,0
2020-08-17 10:00:00,82.5000,90.2300,79.3900,86.9900,82266800,0,72.1552,57.0752,,0
2020-08-24 10:00:00,88.1800,94.9900,86.6100,94.9700,55142400,0,74.6902,58.1134,,0
2020-08-31 10:00:00,94.5100,96.4200,83.4700,88.5400,74050200,1,76.2291,58.9470,,0
2020-09-08 10:00:00,87.0500,93.6900,85.5000,87.4400,51200100,0,77.4747,59.7276,,0
2020-09-14 10:00:00,89.2000,92.4400,86.0400,87.0000,60599800,0,78.5331,60.4748,,0
2020-09-21 10:00:00,85.2300,91.1000,84.3300,90.6300,62130900,0,79.8772,61.3010,,0
2020-09-28 10:00:00,91.6000,92.2800,86.5600,89.6500,37078100,0,80.9631,62.0777,,0
