Datetime,Open,Max,Min,Close,Volume,PEAKS,EMA_17,EMA_72,UDT_COEF,UDT_STATUS
2020-01-02 10:00:00,112.4500,112.8100,112.1300,112.7600,674560,0,112.7600,112.7600,,0
2020-01-02 11:00:00,112.7800,113.5200,112.7000,113.5000,778940,0,112.8422,112.7803,,0
2020-01-02 12:00:00,113.5100,113.5500,113.1500,113.4300,598530,0,112.9075,112.7981,,0
2020-01-02 13:00:00,113.4000,113.5500,113.2400,113.3500,515490,0,112.9567,112.8132,,0
2020-01-02 14:00:00,113.3600,113.6800,113.3100,113.5200,1158580,0,113.0193,112.8326,,0
2020-01-02 15:00:00,113.5300,113.8400,113.5200,113.5700,509770,0,113.0805,112.8528,,0
2020-01-02 16:00:00,113.5600,114.0000,113.5000,113.8400,591060,0,113.1649,112.8798,,0
2020-01-02 17:00:00,113.8300,114.0800,113.8000,113.9200,684370,0,113.2488,112.9083,,0
2020-01-02 18:00:00,114.2400,114.2400,114.2400,114.2400,173080,0,113.3589,112.9448,,0
2020-01-03 10:00:00,112.9300,113.4700,112.8000,113.4600,1628550,0,113.3701,112.9589,,0
2020-01-03 11:00:00,113.4700,114.0200,113.4600,113.8800,870350,0,113.4268,112.9841,,0
2020-01-03 12:00:00,113.8700,113.9500,113.4200,113.6700,827790,0,113.4538,113.0029,,0
2020-01-03 13:00:00,113.7000,113.7400,113.3000,113.6000,877450,0,113.4701,113.0193,,0
2020-01-03 14:00:00,113.6300,114.1000,113.6000,114.0400,504520,0,113.5334,113.0473,,0
2020-01-03 15:00:00,114.0500,114.2100,113.8500,113.9500,333080,0,113.5797,113.0720,,0
2020-01-03 16:00:00,113.9400,114.0400,113.7700,114.0000,328700,0,113.6264,113.0974,,0
2020-01-03 17:00:00,114.0100,114.5000,113.9400,114.0300,828260,1,113.6712,113.1230,,0
2020-01-03 18:00:00,113.8000,113.8000,113.8000,113.8000,303750,0,113.6855,113.1415,,0
2020-01-06 10:00:00,113.8000,113.8000,112.2300,112.4600,568130,0,113.5494,113.1228,,0
2020-01-06 11:00:00,112.4700,112.7000,112.0200,112.1000,926560,-1,113.3883,113.0948,,0
2020-01-06 12:00:00,112.0900,113.0000,112.0900,112.8600,1112630,0,113.3296,113.0884,,0
2020-01-06 13:00:00,112.8900,113.0900,112.7400,112.9900,378310,0,113.2919,113.0857,,0
2020-01-06 14:00:00,112.9800,113.4300,112.9000,113.2800,729680,0,113.2906,113.0910,,0
2020-01-06 15:00:00,113.2900,113.4500,112.9800,113.0600,821880,0,113.2649,113.0902,,0
2020-01-06 16:00:00,113.0500,113.0600,112.3500,112.5000,1041730,0,113.1800,113.0740,,0
2020-01-06 17:00:00,112.4900,113.0000,112.2500,113.0000,830190,0,113.1600,113.0720,,0
2020-01-06 18:00:00,112.5900,112.5900,112.5900,112.5900,362830,0,113.0966,113.0588,,0
2020-01-07 10:00:00,112.9000,112.9000,111.7000,111.8000,892450,0,112.9526,113.0243,,0
2020-01-07 11:00:00,111.7900,112.1600,111.5900,111.9900,1163570,0,112.8456,112.9959,,0
2020-01-07 12:00:00,111.9900,112.2400,111.7100,111.9800,812760,0,112.7494,112.9681,,0
2020-01-07 13:00:00,111.9900,112.1600,111.8400,111.9300,288930,0,112.6584,112.9397,,0
2020-01-07 14:00:00,111.9200,112.2700,111.9000,112.1600,379790,0,112.6030,112.9183,,0
2020-01-07 15:00:00,112.1500,112.7500,112.1400,112.5900,524560,0,112.6016,112.9093,,0
2020-01-07 16:00:00,112.5800,112.6200,112.2700,112.3800,395620,0,112.5769,112.8948,,0
2020-01-07 17:00:00,112.3700,112.5800,112.2000,112.3300,245190,0,112.5495,112.8793,,0
2020-01-07 18:00:00,112.2400,112.2400,112.2400,112.2400,1337530,0,112.5151,112.8618,,0
2020-01-08 10:00:00,112.2400,113.1000,112.2400,112.3400,584240,1,112.4957,112.8475,,0
2020-01-08 11:00:00,112.3200,112.3700,111.7400,111.9600,787870,0,112.4361,112.8232,,0
2020-01-08 12:00:00,111.9800,112.2200,111.4000,111.6400,786500,-1,112.3477,112.7908,-0.0168,-1
2020-01-08 13:00:00,111.6300,112.6400,111.5600,112.4000,668020,0,112.3535,112.7801,-0.0101,-1
2020-01-08 14:00:00,112.3600,112.5900,112.2000,112.3500,310470,0,112.3531,112.7683,-0.0105,-1
2020-01-08 15:00:00,112.3300,112.5100,111.8500,111.8900,376330,0,112.3016,112.7442,-0.0146,-1
2020-01-08 16:00:00,111.9000,112.1300,111.8700,112.0700,710480,0,112.2759,112.7258,-0.0130,-1
2020-01-08 17:00:00,112.0500,112.3800,111.7900,111.8100,898960,0,112.2241,112.7007,-0.0153,-1
2020-01-08 18:00:00,111.9500,111.9500,111.9500,111.9500,1349740,0,112.1937,112.6801,-0.0141,-1
2020-01-09 10:00:00,111.9500,112.5500,111.8100,112.1300,1230490,0,112.1866,112.6650,-0.0125,-1
2020-01-09 11:00:00,112.1000,112.1300,111.5700,111.8000,743270,0,112.1437,112.6413,-0.0154,-1
2020-01-09 12:00:00,111.8100,111.9900,111.5500,111.8800,341040,0,112.1144,112.6205,-0.0147,-1
2020-01-09 13:00:00,111.9100,112.0400,111.7600,111.9500,235560,0,112.0961,112.6021,-0.0141,-1
2020-01-09 14:00:00,111.9400,111.9600,111.3500,111.4600,400300,0,112.0254,112.5708,-0.0184,-1
2020-01-09 15:00:00,111.4600,111.5500,111.1800,111.4400,692240,0,111.9604,112.5398,-0.0186,-1
2020-01-09 16:00:00,111.4300,111.7000,111.3500,111.6400,846970,0,111.9248,112.5152,-0.0168,-1
2020-01-09 17:00:00,111.6300,112.0000,111.3500,111.5600,473340,0,111.8842,112.4890,-0.0175,-1
