Datetime,Open,Max,Min,Close,Volume,PEAKS,EMA_17,EMA_72,UDT_COEF,UDT_STATUS
2020-01-02 10:00:00,112.4500,114.2400,112.1300,114.2400,5684380,0,114.2400,114.2400,,0
2020-01-03 10:00:00,112.9300,114.5000,112.8000,113.8000,6502450,0,114.1911,114.2279,,0
2020-01-06 10:00:00,113.8000,113.8000,112.0200,112.5900,6771940,0,114.0132,114.1831,,0
2020-01-07 10:00:00,112.9000,112.9000,111.5900,112.2400,6040400,0,113.8162,114.1298,,0
2020-01-08 10:00:00,112.2400,113.1000,111.4000,111.9500,6472610,0,113.6088,114.0701,,0
2020-01-09 10:00:00,111.9500,112.5500,111.1800,111.6600,5500010,0,113.3923,114.0041,,0
2020-01-10 10:00:00,112.4000,112.5100,110.7000,111.2800,6103030,-1,113.1576,113.9295,,0
2020-01-13 10:00:00,111.5000,113.0800,111.5000,113.0800,5049680,0,113.1490,113.9062,,0
2020-01-14 10:00:00,113.0800,113.4000,112.3000,113.3200,4378140,0,113.1680,113.8901,,0
2020-01-15 10:00:00,113.0000,113.0500,111.9000,112.1800,3710740,0,113.0582,113.8433,,0
2020-01-16 10:00:00,112.1800,112.8900,111.6300,112.3500,4737610,0,112.9795,113.8024,,0
2020-01-17 10:00:00,112.6500,114.3000,112.6400,114.1000,6314730,0,113.1040,113.8105,,0
2020-01-20 10:00:00,114.1000,114.4100,113.5000,114.4100,4476830,0,113.2491,113.8269,,0
2020-01-21 10:00:00,114.4100,114.4100,112.6500,112.6500,4252920,0,113.1826,113.7947,,0
2020-01-22 10:00:00,113.3000,114.1000,113.1500,114.1000,6471590,0,113.2845,113.8031,,0
2020-01-23 10:00:00,114.1000,115.2100,112.6000,115.2100,5041350,0,113.4984,113.8416,,0
2020-01-24 10:00:00,115.2100,115.2600,113.7100,114.0000,3877390,1,113.5542,113.8459,,0
2020-01-27 10:00:00,111.7000,111.7000,110.2000,110.2900,8060600,0,113.1915,113.7485,,0
2020-01-28 10:00:00,111.3800,112.5300,111.1000,112.3000,6187440,0,113.0924,113.7088,,0
2020-01-29 10:00:00,112.3000,112.8100,110.8600,110.8800,4883650,0,112.8466,113.6313,,0
2020-01-30 10:00:00,109.9800,111.2200,108.6600,111.1900,7901080,0,112.6625,113.5644,,0
2020-01-31 10:00:00,109.0000,110.2100,108.9000,108.9000,6028890,0,112.2445,113.4367,,0
2020-02-03 10:00:00,,111.1100,109.3000,110.4200,5201070,0,112.0418,113.3540,,0
2020-02-04 10:00:00,110.4200,113.0000,110.4200,111.2100,4624730,0,111.9493,113.2953,,0
2020-02-05 10:00:00,112.7600,113.4000,111.7700,111.7700,5333000,0,111.9294,113.2535,,0
2020-02-06 10:00:00,112.6000,113.0800,110.4500,110.9500,8568090,0,111.8206,113.1904,,0
2020-02-07 10:00:00,110.1200,110.9500,109.3500,109.3500,5855910,0,111.5461,113.0852,,0
2020-02-10 10:00:00,109.3000,109.9500,108.0000,108.7900,8601110,-1,111.2398,112.9675,,0
2020-02-11 10:00:00,109.8000,111.3100,109.3900,111.3000,5561510,0,111.2465,112.9218,,0
2020-02-12 10:00:00,112.0500,113.3000,111.3200,112.4500,5121370,0,111.3803,112.9089,,0
2020-02-13 10:00:00,111.3900,111.6800,110.5200,110.9000,5414920,0,111.3269,112.8538,,0
2020-02-14 10:00:00,110.9000,111.3200,109.9000,110.0800,5081200,0,111.1883,112.7778,,0
2020-02-17 10:00:00,110.7100,111.4400,110.4300,110.8000,5173770,0,111.1452,112.7236,,0
2020-02-18 10:00:00,110.1500,111.1400,109.3100,111.1400,5605850,0,111.1446,112.6803,,0
2020-02-19 10:00:00,111.0000,112.2000,110.4300,112.0800,7221480,1,111.2486,112.6638,0.0002,0
2020-02-20 10:00:00,112.0800,112.2000,110.1200,110.2000,4374160,0,111.1320,112.5963,-0.0121,-1
2020-02-21 10:00:00,108.8000,109.5000,108.5000,109.4500,5438000,0,110.9452,112.5101,-0.0171,-1
2020-02-27 10:00:00,100.0800,102.8000,99.2000,99.2000,16405350,0,109.6401,112.1454,-0.0840,-1
2020-02-28 10:00:00,98.9400,100.0000,96.2600,98.3800,7820040,0,108.3890,111.7683,-0.0893,-1
2020-03-02 10:00:00,100.8500,103.3800,99.9000,102.9900,8611250,0,107.7891,111.5278,-0.0593,-1
2020-03-03 10:00:00,102.9900,105.2700,100.5000,101.7500,12898150,0,107.1181,111.2599,-0.0674,-1
