Datetime,Open,Max,Min,Close,Volume,PEAKS,EMA_17,EMA_72,UDT_COEF,UDT_STATUS
2020-01-02 10:00:00,112.4500,114.5000,112.1300,113.8000,12186830,0,113.8000,113.8000,,0
2020-01-06 10:00:00,113.8000,113.8000,110.7000,111.2800,30887990,0,113.5200,113.7310,,0
2020-01-13 10:00:00,111.5000,114.3000,111.5000,114.1000,24190900,0,113.5844,113.7411,,0
2020-01-20 10:00:00,114.1000,115.2600,112.6000,114.0000,24120080,1,113.6306,113.7482,,0
2020-01-27 10:00:00,111.7000,112.8100,108.6600,108.9000,33061660,0,113.1050,113.6153,,0
2020-02-03 10:00:00,,113.4000,109.3000,109.3500,29582800,0,112.6878,113.4985,,0
2020-02-10 10:00:00,109.3000,113.3000,108.0000,110.0800,29780110,0,112.3980,113.4048,,0
2020-02-17 10:00:00,110.7100,112.2000,108.5000,109.4500,27813260,0,112.0705,113.2965,,0
2020-02-27 10:00:00,100.0800,102.8000,96.2600,98.3800,24225390,0,110.5493,112.8878,,0
2020-03-02 10:00:00,100.8500,105.2700,93.3200,94.4000,65044470,0,108.7549,112.3813,,0
2020-03-09 10:00:00,88.3500,88.8100,66.3000,79.4900,126103320,0,105.5033,111.4802,,0
2020-03-16 10:00:00,69.0100,74.5000,59.1000,64.7700,151342050,-1,100.9774,110.2004,,0
2020-03-23 10:00:00,65.3500,75.9600,59.9100,70.2200,108184910,0,97.5599,109.1051,,0
2020-03-30 10:00:00,71.0200,72.7600,65.3000,66.9000,66262100,0,94.1532,107.9488,,0
2020-04-06 10:00:00,70.7900,77.0000,70.0100,75.7300,39505100,0,92.1062,107.0661,,0
2020-04-13 10:00:00,74.5200,78.7400,73.5500,76.0000,50463340,0,90.3166,106.2149,,0
2020-04-20 10:00:00,74.1600,78.7300,69.1000,72.4100,79349580,0,88.3270,105.2888,,0
2020-04-27 10:00:00,74.2800,80.5500,73.5000,77.2100,68006500,0,87.0918,104.5195,,0
2020-05-04 10:00:00,75.1700,78.1400,74.7700,77.4300,50966230,0,86.0182,103.7773,,0
2020-05-11 10:00:00,76.7000,77.7900,72.8500,74.5600,73688090,0,84.7451,102.9768,,0
2020-05-18 10:00:00,77.2400,80.3000,76.9100,79.9400,68355680,0,84.2112,102.3457,,0
2020-05-25 10:00:00,81.7000,85.0000,81.6300,84.1500,63490160,0,84.2044,101.8472,,0
2020-06-01 10:00:00,83.6000,93.7600,83.4800,91.0500,58272380,0,84.9650,101.5514,,0
2020-06-08 10:00:00,92.4700,94.1200,87.3700,89.2500,59065880,0,85.4411,101.2143,,0
2020-06-15 10:00:00,87.2500,94.0000,86.7100,92.6400,63962710,0,86.2410,100.9794,,0
2020-06-22 10:00:00,93.2200,93.8100,89.7600,90.2200,42537350,0,86.6831,100.6847,,0
2020-06-29 10:00:00,90.2200,94.4200,90.2200,93.1900,38895530,0,87.4061,100.4793,,0
2020-07-06 10:00:00,94.7700,96.4600,93.6500,96.3400,40581050,0,88.3988,100.3659,,0
2020-07-13 10:00:00,96.8900,99.2500,94.6200,99.1300,42912790,0,89.5911,100.3321,,0
2020-07-20 10:00:00,99.1200,101.3600,97.0900,98.5900,37654180,0,90.5910,100.2843,,0
2020-07-27 10:00:00,98.5900,101.7700,98.5900,99.2900,38575170,1,91.5576,100.2571,,0
2020-08-03 10:00:00,99.9600,100.7000,96.2500,98.8300,42869850,0,92.3656,100.2180,,0
2020-08-10 10:00:00,99.0900,100.5500,96.3900,97.4700,52360080,0,92.9328,100.1427,,0
2020-08-17 10:00:00,97.2900,98.5000,94.8200,97.6000,58213050,0,93.4513,100.0730,,0
2020-08-24 10:00:00,98.4800,99.0600,95.6200,98.3000,43126740,0,93.9901,100.0245,,0
2020-08-31 10:00:00,97.6100,99.3900,95.2300,97.4200,52228000,0,94.3712,99.9531,,0
2020-09-08 10:00:00,96.0900,97.8700,94.0500,94.4800,43790010,-1,94.3833,99.8032,0.3333,1
2020-09-14 10:00:00,94.4800,97.1300,94.3000,94.6400,42617610,0,94.4118,99.6617,0.3347,1
2020-09-21 10:00:00,93.3900,94.3600,92.0000,93.5000,50464470,0,94.3105,99.4929,0.3247,1
2020-09-28 10:00:00,94.2500,94.7000,89.9000,91.0500,35471895,0,93.9482,99.2616,0.3030,1
